Id,Label,timeset,modularity_class,pageranks,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1346835261057978374,1346835261057978374,,10,0.058824,1,1,1,1,0
1346835263541170176,1346835263541170176,,19,0.014671,0.995536,2,0.952941,0.975309,19.330618
1346835268007968768,1346835268007968768,,1,0,0,0,0,0,0
1346835273049657348,1346835273049657348,,20,0.01221,0.130336,3,0.436893,0.503704,7
1346835282700677126,1346835282700677126,,6,0.016249,0.501157,2,0.642857,0.722222,0
1346835297334648835,1346835297334648835,,20,0.031399,1,3,0.652174,0.777778,81.833333
1346835309137301505,1346835309137301505,,8,0.035714,1,1,1,1,0
1346835320353001472,1346835320353001472,,23,0.018883,0.011911,7,0.211382,0.312088,0
1346835337683857410,1346835337683857410,,19,0.013174,0.942013,2,0.870968,0.925926,5.237808
1346835341269901312,1346835341269901312,,1,0,0,0,0,0,0
1346835348945514498,1346835348945514498,,20,0.01221,0.130336,3,0.436893,0.503704,7
1346835355874586630,1346835355874586630,,7,0,0,0,0,0,0
1346835356251951106,1346835356251951106,,8,0.035714,1,1,1,1,0
1346835366066708481,1346835366066708481,,2,0.051599,0.948625,2,0.863636,0.921053,0
1346835366330789889,1346835366330789889,,7,0,0,0,0,0,0
1346835373238968320,1346835373238968320,,19,0.013819,0.942682,2,0.9,0.944444,14.620046
1346835374837030912,1346835374837030912,,12,0.013305,0.834977,3,0.744681,0.847619,0.471772
1346835379845017600,1346835379845017600,,11,0.1,1,1,1,1,0
1346835392981557248,1346835392981557248,,24,0.25,1,1,1,1,0
1346835398878662656,1346835398878662656,,8,0.035714,1,1,1,1,0
1346835398975238146,1346835398975238146,,12,0.013483,0.852786,3,0.744681,0.852381,0
1346835411809697792,1346835411809697792,,1,0,0,0,0,0,0
1346835415823736835,1346835415823736835,,20,0.021182,0.787581,4,0.46875,0.622222,0
1346835415945326597,1346835415945326597,,23,0.023655,1,5,0.490566,0.696795,18.938969
1346835424958959618,1346835424958959618,,19,0.014475,0.989998,2,0.94186,0.969136,16.685939
1346835428125663232,1346835428125663232,,19,0.014649,1,2,0.952941,0.975309,17.979458
